TransactionID,Date,Amount,Type,Description,Category
1,2025-01-27,2038.32,credit,Bonus Credit,SALARY
2,2025-09-25,3361.16,credit,Crypto Buy,INVESTMENT
3,2024-02-25,4825.61,debit,Gaming Purchase,ENTERTAINMENT
4,2024-11-26,4378.46,debit,Netflix Subscription,ENTERTAINMENT
5,2025-04-23,740.75,debit,Stock Purchase,INVESTMENT
6,2024-09-27,2571.61,debit,Crypto Buy,INVESTMENT
7,2024-01-01,2188.52,transfer,Netflix Subscription,ENTERTAINMENT
8,2024-07-11,4621.32,debit,Monthly Salary Credit,SALARY
9,2025-04-24,2473.35,debit,Monthly Salary Credit,SALARY
10,2024-03-06,3239.89,debit,Doctor Consultation,MEDICAL
11,2024-08-02,3762.36,transfer,Restaurant Bill,FOOD
12,2025-02-06,1860.88,transfer,Uber Ride,TRAVEL
13,2024-01-08,3498.21,transfer,Stock Purchase,INVESTMENT
14,2025-04-26,1917.31,credit,Netflix Subscription,ENTERTAINMENT
15,2025-06-15,1774.1,debit,McDonalds,FOOD
16,2024-09-30,1831.56,credit,Gaming Purchase,ENTERTAINMENT
17,2024-06-15,4152.39,debit,Bonus Credit,SALARY
18,2024-03-02,2928.45,transfer,Gaming Purchase,ENTERTAINMENT
19,2024-09-26,154.15,transfer,Flipkart Order,SHOPPING
20,2025-03-15,782.95,debit,Electricity Bill,BILLS
21,2024-04-07,1142.45,credit,Mutual Fund SIP,INVESTMENT
22,2025-03-07,2603.29,credit,UPI Transfer,TRANSFER
23,2025-06-07,4135.44,credit,Bonus Credit,SALARY
24,2024-10-25,1064.3,credit,Medical Test,MEDICAL
25,2024-12-20,4116.19,debit,Pharmacy Purchase,MEDICAL
26,2024-08-07,2176.7,debit,Stock Purchase,INVESTMENT
27,2024-01-13,3994.75,debit,Uber Ride,TRAVEL
28,2024-12-14,3614.78,credit,UPI Transfer,TRANSFER
29,2024-05-23,3458.3,transfer,Mobile Recharge,BILLS
30,2025-08-12,4367.64,debit,Internet Bill,BILLS
31,2024-07-25,2782.08,credit,Myntra Clothing,SHOPPING
32,2024-06-08,1900.4,transfer,UPI Transfer,TRANSFER
33,2023-12-29,2267.75,debit,Lifestyle Store,SHOPPING
34,2025-09-15,931.9,transfer,UPI Transfer,TRANSFER
35,2025-08-25,4265.26,transfer,Amazon Purchase,SHOPPING
36,2024-12-07,2950.19,credit,Bank Transfer,TRANSFER
37,2023-12-29,1833.32,credit,McDonalds,FOOD
38,2024-08-18,996.11,credit,Dominos Pizza,FOOD
39,2025-07-21,216.72,debit,Pharmacy Purchase,MEDICAL
40,2024-02-08,555.56,transfer,Mobile Recharge,BILLS
41,2025-04-05,3663.13,transfer,Restaurant Bill,FOOD
42,2024-11-08,935.89,debit,Electricity Bill,BILLS
43,2025-06-11,540.95,transfer,Amazon Purchase,SHOPPING
44,2025-01-31,1355.08,transfer,UPI Transfer,TRANSFER
45,2025-09-01,4565.78,transfer,Lifestyle Store,SHOPPING
46,2025-07-31,3938.66,debit,Mobile Recharge,BILLS
47,2024-08-24,2047.53,credit,Uber Ride,TRAVEL
48,2025-02-15,1482.48,credit,Flipkart Order,SHOPPING
49,2024-06-07,4217.86,debit,Monthly Salary Credit,SALARY
50,2025-09-02,3042.02,transfer,Dominos Pizza,FOOD
51,2024-08-25,4745.95,debit,Bonus Credit,SALARY
52,2024-01-02,4954.04,transfer,Netflix Subscription,ENTERTAINMENT
53,2024-05-05,3645.36,debit,Lifestyle Store,SHOPPING
54,2024-03-25,1997.55,credit,Stock Purchase,INVESTMENT
55,2025-04-27,2334.56,credit,Uber Ride,TRAVEL
56,2024-06-07,3632.88,transfer,Doctor Consultation,MEDICAL
57,2025-09-01,363.35,transfer,Bonus Credit,SALARY
58,2025-01-28,1052.82,credit,Crypto Buy,INVESTMENT
59,2025-05-01,717.5,credit,Flight Booking,TRAVEL
60,2024-11-04,3425.84,debit,Medical Test,MEDICAL
61,2024-01-21,4362.85,transfer,Bonus Credit,SALARY
62,2024-05-09,4689.81,transfer,Gaming Purchase,ENTERTAINMENT
63,2025-02-26,1356.04,debit,Bonus Credit,SALARY
64,2023-12-13,2533.79,debit,Electricity Bill,BILLS
65,2025-05-16,3281.18,credit,Starbucks Coffee,FOOD
66,2025-08-16,2468.63,debit,Train Ticket,TRAVEL
67,2025-06-14,1343.85,debit,Internet Bill,BILLS
68,2025-05-18,3391.95,debit,Bank Transfer,TRANSFER
69,2025-02-02,4920.3,transfer,Crypto Buy,INVESTMENT
70,2024-11-10,3849.91,transfer,Doctor Consultation,MEDICAL
71,2025-06-16,4769.91,transfer,Fuel Station,TRAVEL
72,2024-07-17,469.16,credit,Train Ticket,TRAVEL
73,2024-08-13,1717.77,debit,Starbucks Coffee,FOOD
74,2024-10-23,2569.19,transfer,Electricity Bill,BILLS
75,2025-07-10,1381.36,debit,Netflix Subscription,ENTERTAINMENT
76,2024-02-07,2031.1,credit,Electricity Bill,BILLS
77,2024-11-18,3995.69,transfer,Uber Ride,TRAVEL
78,2024-07-31,219.1,credit,Electricity Bill,BILLS
